user_id,item_id,score
A2BH04B9G9LOYA,B004G1L52Q,5.0
A3W4D8XOGLWUN5,B00L8KN2CO,4.0
A31RULW0KNYJ5H,B00D64PN36,5.0
A3M7BCQKSQAK4L,B00H2RP6W6,5.0
A10PEXB6XAQ5XF,B00NH12EHQ,4.0
A1TR1R2QKWRSRA,B00ESJGILE,4.0
A2S26YGSVXBCFL,B005G0DEG6,5.0
A2S26YGSVXBCFL,B007L5NKZO,4.0
A2S26YGSVXBCFL,B009Y5UOI0,3.0
AHQRU3MRORIWQ,B00TRG8KGY,5.0
AHQRU3MRORIWQ,B005OW4AWS,4.0
AHQRU3MRORIWQ,B00N41VOWK,5.0
A17V9XL4CWTQ6G,B00N54R8K8,5.0
AN81JUYW2SL24,B0055PH0XA,4.0
AN81JUYW2SL24,B0085JRQZU,4.0
ABKMVAM7J0XRU,B00VH88CJ0,5.0
A1ZU55TM45Y2R8,B00O3AE982,5.0
A1ZU55TM45Y2R8,B00NV8ZEJK,5.0
A1ZU55TM45Y2R8,B0094CX4NK,4.0
A2W9GX82SLKROQ,B00H36XX6C,3.0
A3PD8JD9L4WEII,B00J4O1YBW,4.0
A2LXX47A0KMJVX,B00C13YSIO,4.0
A2LXX47A0KMJVX,B00B1UQD7M,5.0
A2NJQF2UI60VGT,B0092KJ9BU,4.0
A1UQUDT2Q0YENM,B003D1QPHK,5.0
A1UQUDT2Q0YENM,B00NCJ4GP6,1.0
AZAC8O310IK4E,B0093TSSGW,5.0
AZAC8O310IK4E,B002ZCW91Y,5.0
A2FWZ58M6IQMD7,B0009B0IX4,5.0
A12O5SEIF162P8,B0014KOB6Y,5.0
A12O5SEIF162P8,B009RYX94E,5.0
A2Y739CRM15WDL,B00FQQ4PNQ,4.0
A2Y739CRM15WDL,B011DU63L0,3.0
A2NB2E5DXE319Z,B00PA7A3LY,4.0
A2NB2E5DXE319Z,B00HGZ247O,4.0
A30IP5D5DLHRPA,B00O3AE982,5.0
A1F1A0QQP2XVH5,B00A83I8G2,5.0
A2WCFDOCS73PNB,B005FPT380,5.0
A3D5B2CBFNJB0K,B005RUOUHW,5.0
A3R4794K2RVU1S,B0093VGQY6,4.0
A3R4794K2RVU1S,B009F4XM48,5.0
A3OIC7GUFY941R,B004ZMV2GA,3.0
A10ZBR6O8S8OCY,B00N7FKUL4,4.0
A3J029KBNG5MNP,B00CFLMEZQ,4.0
A3J029KBNG5MNP,B0069J0GWI,5.0
A680RUE1FDO8B,B00L8KN2CO,5.0
A680RUE1FDO8B,B0148DEHCQ,3.0
A30UP2KKD5IQEP,B00E327OIM,5.0
A27H0T39U3FZB5,B008O0USLO,3.0
A376OJHLE6SU9Q,B0093TSSGW,5.0
A3QJU4FEN8PQSZ,B0079XKIVC,5.0
A3QJU4FEN8PQSZ,B00H2RP6W6,5.0
A24O15MYDNLZBE,B011DU63L0,3.0
A15CL28ALB7MTZ,B00A825SEI,3.0
A3EK2KTYHJCPB9,B00JOB1IES,5.0
A2QI2NTDTMK2FV,B00E45043A,5.0
A100UD67AHFODS,B00A83I8G2,5.0
AQIJ3ZEEVCIKU,B0027FFZEW,4.0
A25QJBK33C4O0R,B00ON39CQ8,4.0
A25QJBK33C4O0R,B00Z7SIJPI,4.0
A3J3ZHGDUDPCFL,B01C794V06,4.0
AI8EMB0HUC6Z5,B0009B0IX4,4.0
AI8EMB0HUC6Z5,B00CP0I474,5.0
A1143YEAZYMYHJ,B01C794V06,3.0
ABNMD6670TV53,B01CX26I4Y,5.0
A3J8A5L5AF5TX9,B00NH12EHQ,3.0
AFHYEO3Y1IIDD,B0085JRQZU,3.0
A2MBLVMVDLHK1L,B00IEFUC4C,5.0
A3M6TSEV71537G,B00KXQULG4,4.0
ACL0T7X1THPAV,B00E2TT8W6,5.0
A1V3TRGWOMA8LC,B00D64PN36,5.0
A19RW25Q6206I3,B00H2RP6W6,2.0
A1J75JJ0Q2OEJN,B00Z7SIJPI,4.0
AJ9AE2BVND0GS,B00Z7SA89I,5.0
A1ZCSSCAGBCD49,B00ESJGILE,5.0
A1ZCSSCAGBCD49,B00LCAVWBI,4.0
A1ZCSSCAGBCD49,B00SXFEAB4,5.0
A1ZBEIL78MLR9Z,B004I8WD6E,5.0
A1ZBEIL78MLR9Z,B01C794V06,4.0
A2SDRCBPIAXVDW,B00N0RT35S,3.0
A1UQBFCERIP7VJ,B00MXWFUQC,5.0
A1UQBFCERIP7VJ,B00HGZ247O,5.0
A1UQBFCERIP7VJ,B00LCAVWBI,5.0
A3V6Z4RCDGRC44,B0014KOB6Y,3.0
A2XRMQA6PJ5ZJ8,B00X5RV14Y,5.0
A3FOSLM5G1BO63,B00O3AE982,5.0
A3FOSLM5G1BO63,B00TQ5ALA4,5.0
A3TAS1AG6FMBQW,B015QKJJEG,1.0
A3TAS1AG6FMBQW,B00HFEJNNO,5.0
A2BLFCOPSMBOZ9,B00L82Y442,4.0
A2BLFCOPSMBOZ9,B00E327OIM,5.0
A2BLFCOPSMBOZ9,B00A825SEI,4.0
A3VI2VETB90ZG5,B009Y5UOI0,4.0
A3VI2VETB90ZG5,B00M9E10UE,4.0
AQCJWSMSURQI2,B011ERMDG6,4.0
AQCJWSMSURQI2,B00XJK46Q2,4.0
AQCJWSMSURQI2,B00Z7SFFFU,5.0
AQCJWSMSURQI2,B00TRG8KGY,4.0
A105S56ODHGJEK,B00YCBBDTA,5.0
ATOKT8QYK967L,B0049SKHYS,3.0
A3U41ZL33SS92P,B00H2RP6W6,3.0
A23GFTVIETX7DS,B00A4L4E9I,5.0
A23GFTVIETX7DS,B00GBFQX22,5.0
A23GFTVIETX7DS,B00N3Q3SD4,5.0
A2503LT8PZIHAD,B003D1QPHK,2.0
A2503LT8PZIHAD,B008O0USLO,4.0
A2503LT8PZIHAD,B00A825SEI,3.0
A2503LT8PZIHAD,B00LCAVWBI,5.0
A1JBUBTQ48ITN4,B0014KOB6Y,4.0
A2YKWYC3WQJX5J,B00IEFUC4C,5.0
A2YKWYC3WQJX5J,B00UNV8SKA,5.0
A2D1LPEUCTNT8X,B00JP8MZGK,4.0
A1BC62X6HZJGZR,B00VH8ZW02,5.0
A1X1CEGHTHMBL1,B0009B0IX4,5.0
A1X1CEGHTHMBL1,B00N3Q3SD4,5.0
A1X1CEGHTHMBL1,B00EF1OGOG,5.0
A1RPTVW5VEOSI,B00MQSMDYU,4.0
A357B3PUHSVQA,B00M14SQEA,1.0
A357B3PUHSVQA,B00UNV8SKA,3.0
A3LZA698SQPCXE,B00COYOAYW,4.0
A33Y8C4818EJL0,B00Z7SKFMI,5.0
A33Y8C4818EJL0,B00Z7SFFFU,5.0
A33Y8C4818EJL0,B00Z7SIJPI,5.0
A35HOUWHAYZZN6,B0094CX4NK,2.0
A35HOUWHAYZZN6,B00F8OYPUO,5.0
A35HOUWHAYZZN6,B00PL4PYP6,5.0
A3CW0ZLUO5X2B1,B004877KOK,5.0
A3CW0ZLUO5X2B1,B00D64PN36,5.0
A3CW0ZLUO5X2B1,B00M5JKZY0,5.0
A2J8T58Z4X15IO,B001GD87QO,5.0
A2J8T58Z4X15IO,B01B7OPLCE,5.0
A34CSXOGVYF94S,B019O8YWXE,4.0
A34CSXOGVYF94S,B008UCNHWS,3.0
A34CSXOGVYF94S,B00M5JKZY0,5.0
A3RGHO0Q938FRS,B00Z7TCISG,4.0
