h,lambda,mae
10,0.001,3.4117745951469844
10,0.01,3.3458542223130117
10,0.1,3.5719234973740095
10,1,4.041747957429857
10,10,4.237428401259278
10,100,4.233644508678363
10,1000,4.25235312631837
20,0.001,3.064543813998226
20,0.01,3.025065995915318
20,0.1,3.0473010060552523
20,1,3.9053696466732104
20,10,4.234817845682959
20,100,4.2499512094574445
20,1000,4.248993280439097
40,0.001,2.577629644315532
40,0.01,2.5353599575500496
40,0.1,2.594233852758964
40,1,3.3432593999225446
40,10,4.302759674322092
40,100,4.257721300929492
40,1000,4.183134453345703
80,0.001,2.2439486029299394
80,0.01,2.225764852551019
80,0.1,2.146257948696406
80,1,2.6037282121419403
80,10,4.26609217676957
80,100,4.236590451984913
80,1000,4.2732780626477505
100,0.001,2.1325470871921914
100,0.01,2.2602952841065824
100,0.1,2.22947977017277
100,1,2.3599131268459734
100,10,4.2987535370467995
100,100,4.234861581271643
100,1000,4.248264892461362
200,0.001,2.0639602136499366
200,0.01,2.0978544695801005
200,0.1,2.021046379710775
200,1,1.7749083588299839
200,10,4.292942336643944
200,100,4.247589895862161
200,1000,4.1946638780017835
300,0.001,1.9473872879122056
300,0.01,1.988596634507892
300,0.1,1.7921676092632044
300,1,1.764719748864172
300,10,4.2792459712699875
300,100,4.246062963655181
300,1000,4.235407329791829
400,0.001,2.0177285837525707
400,0.01,1.8571825180147106
400,0.1,1.727219714852378
400,1,1.600220858961631
400,10,4.276569217676819
400,100,4.253003456015784
400,1000,4.283373293190896
500,0.001,1.7240943297943467
500,0.01,1.6227907645144746
500,0.1,1.7844874042703704
500,1,1.417114176274253
500,10,4.266691375865122
500,100,4.2439079820986
500,1000,4.229245858211518
