user_id,item_id,score
AUCIFMWP3DU8R,B00004VUGJ,3.0
AN81JUYW2SL24,B00004VUGJ,4.0
A2PK64OVZA1U8Z,B00004VUGJ,4.0
A3HJHV83O2U8BL,B00004VUGJ,4.0
ANRXH0BVEAR6B,B00004VUGJ,3.0
ACQYIC13JXAOI,B00005Q5U5,5.0
A1RPTVW5VEOSI,B00005Q5U5,5.0
A3S15YGZ6W6EV2,B0000645C9,5.0
A1F9Z42CFF9IAY,B0000645C9,4.0
A7ED6BJO320TG,B000069092,1.0
A22S7D0LP8GRDH,B000069092,5.0
A1X1CEGHTHMBL1,B00006B7HB,5.0
A3R4794K2RVU1S,B00006B7HB,5.0
A3F3B6HY9RJI04,B00006B7HB,5.0
A3S3R88HA0HZG3,B00006HZ0K,5.0
AU7PA1KV5MOMM,B00006IR39,1.0
A3NOBH42C7UI5M,B00006LV79,5.0
ASJZT7DM51QEM,B00008I8OP,5.0
A1F1A0QQP2XVH5,B00008OE6I,5.0
A1VQHH85U7PX0,B00008OE46,5.0
A1RPTVW5VEOSI,B00008OE46,5.0
AC6LV5D2RKTIR,B00008OE46,5.0
A1ODOGXEYECQQ8,B00008OE46,5.0
A3Q4TYJVAM4IRM,B00008OE6I,5.0
A1F9Z42CFF9IAY,B00008OE6I,4.0
A1F9Z42CFF9IAY,B00008OE5I,3.0
AJX9A4Q19UTJU,B00008OE5I,4.0
A2XRMQA6PJ5ZJ8,B00008OE5I,5.0
A1XXMNLOLKNO0I,B00008OE43,5.0
A376OJHLE6SU9Q,B0000AOWW9,5.0
A2XU6J41ZQOJ2V,B0000C8VU8,5.0
AELK0E5DK7LIZ,B0000C8VU8,5.0
A2XRMQA6PJ5ZJ8,B0000C8VU8,4.0
A38KK0SZYEH5UD,B000144I30,5.0
AIBRTGBN07D6A,B0001ILXGQ,4.0
AS6SH2JM2YY3H,B0001ILXGQ,4.0
A357B3PUHSVQA,B0001ILXGQ,1.0
AN81JUYW2SL24,B0001ILXGQ,4.0
A353U0L2HAMSHV,B0001LTT5K,5.0
A22CW0ZHY3NJH8,B0001V2N62,2.0
AZAC8O310IK4E,B00025O7LQ,5.0
A3GM951Z60CHA9,B00025O7LQ,5.0
A1PR7UDVQ8QSFF,B0002XQI2E,5.0
AZAC8O310IK4E,B0002XQJFA,4.0
A376OJHLE6SU9Q,B0002XQJFA,5.0
A3MQAQT8C6D1I7,B0002XQJFA,5.0
A3UM9V980DKANX,B0002XQJFA,4.0
A2W9GX82SLKROQ,B0002XQJFA,5.0
A1JZFGZEZVWQPY,B0003QER82,3.0
