user_id,item_id,score
A1GYEGLX3P2Y7P,B004VRZ6CA,4.0
A1TR1R2QKWRSRA,B008CQQHPQ,4.0
A33ZYFE8XMKKR1,B000CSS8UE,5.0
A33ZYFE8XMKKR1,B0019QXACO,5.0
A2S26YGSVXBCFL,B0013TVEWA,2.0
AHQRU3MRORIWQ,B0006O1ICE,4.0
A10H24TDLK2VDP,B00Q4MJ5AE,5.0
AN81JUYW2SL24,B00S4TS80S,5.0
AN81JUYW2SL24,B017NN0HQS,5.0
A1ZU55TM45Y2R8,B00AWHS7YC,4.0
A1ZU55TM45Y2R8,B00C8SOG3E,5.0
A2DXENZNO2JT4F,B00NODLUGI,5.0
A2DXENZNO2JT4F,B008YA6BWE,5.0
A2W9GX82SLKROQ,B007OSD9UO,4.0
A3CG93783LP0FO,B0013BKDO8,4.0
A397CWU6DM3O5G,B017NH9UFI,3.0
AZAC8O310IK4E,B000FEM392,5.0
A2FWZ58M6IQMD7,B000I1EHK0,5.0
A12O5SEIF162P8,B00DHLRO1C,5.0
AWRUGF540PB3A,B00DRALJ28,5.0
A2NB2E5DXE319Z,B0002UEPVI,5.0
A2NB2E5DXE319Z,B00JF2KWTI,5.0
A1F1A0QQP2XVH5,B0019QXACO,5.0
A3D0HMC6RQT0N0,B0009KMYHI,2.0
A2XU6J41ZQOJ2V,B00020BQGK,5.0
A3IY316DRNF5F2,B0013TVEWA,4.0
A2WCFDOCS73PNB,B00006I9X4,4.0
A3F9CMU8KNAY1M,B00O47ILVA,5.0
A10ZBR6O8S8OCY,B0123F01LW,5.0
A10ZBR6O8S8OCY,B00DRALJ28,5.0
A2WW57XX2UVLM6,B00AQ2BZZQ,3.0
A680RUE1FDO8B,B00485FCG0,5.0
A3Q4TYJVAM4IRM,B001CX4JSS,4.0
AP6L54VTCJKCQ,B00YAR86BY,5.0
A30UP2KKD5IQEP,B000087KUA,5.0
A376OJHLE6SU9Q,B00ELI7SBG,4.0
ANW6EGY12V5XS,B0002EQU6C,5.0
A3QJU4FEN8PQSZ,B01CL1FFPK,4.0
A2V0I904FH7ABY,B0006O1ICE,5.0
A28I98PKHZZKVB,B00IO9PBPS,5.0
A28I98PKHZZKVB,B01ENFOHN8,5.0
A3EK2KTYHJCPB9,B00LH0SEY6,1.0
A3EK2KTYHJCPB9,B008CQQHPQ,3.0
A1VLVWTLV3LVHR,B006IPH5H2,5.0
A2V1J3JT5OOZFO,B004M1BO3U,5.0
A1GQRGB8FGSLIZ,B004LGTSQ6,2.0
A1VGXHHR08G044,B008YA6BWE,5.0
A1VGXHHR08G044,B00DHLRO1C,5.0
A3DX5F0CW34Y9,B00NODLUGI,5.0
AQIJ3ZEEVCIKU,B00J25JCW6,4.0
AQIJ3ZEEVCIKU,B000ZTEPWU,5.0
AI8EMB0HUC6Z5,B0009DV7Y6,5.0
ABNMD6670TV53,B00UZR9QKS,4.0
A2NVQZ4Y7Y0J1R,B0013TVEWA,3.0
A2MBLVMVDLHK1L,B008YD68NI,5.0
A3M6TSEV71537G,B000LPN3YY,5.0
AOEUN9718KVRD,B0013BKDO8,5.0
A3BNMHRW2R35LK,B00NODLUGI,4.0
A19RW25Q6206I3,B0001MSC84,4.0
A3R2J4ICQJMG87,B0013BKDO8,4.0
A1J75JJ0Q2OEJN,B00GTRVO12,4.0
A250AXLRBVYKB4,B0000DH8I8,3.0
AGJ0DW8O7D9FL,B000CSS8UE,5.0
A7EJERNB7IK3Z,B005K2TXMO,5.0
A1UQBFCERIP7VJ,B00YAR86BY,5.0
