h,lambda,mae
10,0.001,3.627483471672316
10,0.01,3.580199001008185
10,0.1,3.7439894451841638
10,1,4.04169308397505
10,10,4.310204211064582
10,100,4.188824156378779
10,1000,4.177141419873722
20,0.001,3.373878179253012
20,0.01,3.18959258624321
20,0.1,3.379186545708329
20,1,3.8127419595672314
20,10,4.309348730649349
20,100,4.360484203624265
20,1000,4.357905663246118
40,0.001,2.792660315359272
40,0.01,2.90860151740088
40,0.1,2.8422351092762415
40,1,3.3716283755026004
40,10,4.205843717441466
40,100,4.197574985706864
40,1000,4.361266956421488
80,0.001,2.554709315461237
80,0.01,2.3289781443911473
80,0.1,2.7049162177475177
80,1,3.037629569037525
80,10,4.2460608622187
80,100,4.343312668915532
80,1000,4.32460071047723
100,0.001,2.2849519600190114
100,0.01,2.397315296422744
100,0.1,2.3909037413026977
100,1,2.7351086286070267
100,10,4.172197108614272
100,100,4.268598495750611
100,1000,4.18881456559407
200,0.001,1.8332573438999986
200,0.01,2.171007036648798
200,0.1,1.9839760326187392
200,1,2.0844700056228085
200,10,4.283609116780009
200,100,4.33154472189825
200,1000,4.350041531641127
300,0.001,2.0283358168040495
300,0.01,1.7110459588316904
300,0.1,1.9158758442874118
300,1,1.877323698502232
300,10,4.196817923974299
300,100,4.283072533538376
300,1000,4.351539700779938
400,0.001,1.9165736727409317
400,0.01,1.9153870389311787
400,0.1,1.9049725581482413
400,1,1.7390509355240973
400,10,4.124859863295071
400,100,4.331164233143204
400,1000,4.40985831408109
500,0.001,1.7101226850868998
500,0.01,1.7233512226020657
500,0.1,1.608080185242897
500,1,1.6006556679689943
500,10,4.067567216255815
500,100,4.238737528980642
500,1000,4.302479667133755
