user_id,item_id,score
A1H2WJSALF3E9U,0763855553,5.0
A99K7S15XOQ45,0763855553,5.0
A22S7D0LP8GRDH,0763855553,5.0
A3VONQL7YW8UPM,0763855553,5.0
A141R97FHSSUQ0,0763855553,4.0
A376OJHLE6SU9Q,0763855553,4.0
AGOH8N902URMW,0763855553,5.0
A379DLIAF0MFM5,0763855553,5.0
A1GQRGB8FGSLIZ,0763855553,3.0
A18GJ9MYYO6GCQ,1413313701,5.0
A3R1WFO4KIUQXZ,1413313701,2.0
ACVDL5QRCOPE1,1413313701,4.0
A2XU6J41ZQOJ2V,1413313701,5.0
A3BNMHRW2R35LK,1413313701,5.0
A1TR1R2QKWRSRA,1413313701,4.0
A16RI68PS6T5CA,1413313728,4.0
A1GWG5CWLKJ7ET,1413313728,5.0
A3DZFEICHK5LF2,1413313728,4.0
A1GQRGB8FGSLIZ,1413313728,5.0
ACVDL5QRCOPE1,1413313728,5.0
A3LGT6UZL99IW1,1413313728,5.0
A3URT8E3UNEWTR,B000FK88JK,5.0
ADKZOXAOV8EXD,B000FK88JK,5.0
A18YMFFJW974QS,B000FK88JK,2.0
A2MR696ZU17F12,B000FK88JK,5.0
A6FIAB28IS79,B000FK88JK,4.0
A1J75JJ0Q2OEJN,B000FK88JK,4.0
A1UVWTNPX8TR0G,B000FK88JK,2.0
A225G2TFM76GYX,B000FK88JK,5.0
A2QDOJFFLFGF18,B000TMHZX4,3.0
A680RUE1FDO8B,B000TMHZX4,2.0
A1ZCSSCAGBCD49,B000TMHZX4,3.0
A3KCKECEO3E2AN,B000TMHZX4,3.0
A19XMHRB3G4DIR,B000TMHZX4,3.0
A8WAYVOKYBLO6,B000TMHZX4,4.0
A3G7BEJJCPD6DS,B000TMHZX4,4.0
A1ZM846Y7AUYD,B000TMHZX4,4.0
A17HMM1M7T9PJ1,B000TMHZX4,4.0
A376OJHLE6SU9Q,B000UJUJ7U,4.0
A2XRMQA6PJ5ZJ8,B000UJUJ7U,1.0
A3R1WFO4KIUQXZ,B000UJUJ7U,4.0
A3M6TSEV71537G,B000UJUJ7U,3.0
A3Q4TYJVAM4IRM,B000UJUJ7U,5.0
ATJE929ETFFNH,B000UJUJ7U,4.0
A105S56ODHGJEK,B000UJUJ7U,3.0
A3CWEK9HY2VPDL,B000UJUJ7U,2.0
A3Q1J68QY1MZQ9,B000V6YPAY,5.0
A3F3B6HY9RJI04,B000V6YPAY,3.0
A2K4HN6EECBNR3,B000V6YPAY,5.0
A3SMR4HRFJARSC,B000V6YPAY,1.0
A2X3L31KCXBHCL,B000V6YPAY,3.0
A2D1LPEUCTNT8X,B000VLZCEW,3.0
A3LGT6UZL99IW1,B000VLZCEW,1.0
A1JZFGZEZVWQPY,B0000AZJY6,5.0
A1QNYLBG73QRNF,B0000AZJY6,5.0
A3D0HMC6RQT0N0,B000W3RSGE,3.0
A2EZTM9WY5B5IL,B000W3RSGE,5.0
A22I55P15NSAOX,B000W3RSGE,4.0
A6VPK7X53QNAQ,B000WEJYM4,3.0
ARXU3FESTWMJJ,B000WEJYM4,4.0
A11KZ906QD08C5,B000WMUHEU,2.0
A2PK64OVZA1U8Z,B000WMUHEU,5.0
A2EZTM9WY5B5IL,B000WMUHEU,5.0
A2VAD79S4A06DD,B000WR2F2M,4.0
A105S56ODHGJEK,B000WR2F2M,3.0
AS6SH2JM2YY3H,B000WR2F2M,5.0
A27H0T39U3FZB5,B000WR2F2M,3.0
A1143YEAZYMYHJ,B000WR2F2M,4.0
A1ZCSSCAGBCD49,B000WR2F2M,2.0
A1C0SOX7DPXY65,B000WR2F2M,2.0
A1GWG5CWLKJ7ET,B000WR2F2M,3.0
A225G2TFM76GYX,B000X86ZAS,4.0
A105S56ODHGJEK,B000X86ZAS,5.0
A1JZFGZEZVWQPY,B000X86ZAS,3.0
A1JUBRIZMO0RJV,B000X86ZAS,4.0
ABNMD6670TV53,B000X86ZAS,4.0
A2HXE29CU1I24Y,B000X86ZAS,4.0
A3A15L96IYUO6V,B000X86ZAS,3.0
A3CKI6VEH0HBMJ,B000X86ZAS,4.0
A3RGHO0Q938FRS,B000XHE0Q0,5.0
A3KZCNV1N8R9GC,B000XHE0Q0,4.0
A21S26XYPGXJZX,B000XHE0Q0,4.0
A1O229NVVDJUX2,B000XHE0Q0,4.0
A38NELQT98S4H8,B000XHE0Q0,4.0
A26DQMYF5E0GL6,B000XHE0Q0,4.0
A1LH6RF4UN9VI6,B000XHE0Q0,3.0
A1GQRGB8FGSLIZ,B000XHE0Q0,3.0
A3Q1J68QY1MZQ9,B000XHE0Q0,4.0
A21KNRUAA5RK5E,B000XHE0Q0,2.0
A1GWG5CWLKJ7ET,B000XHE0Q0,4.0
A1F1A0QQP2XVH5,B000XHE0Q0,3.0
A16RI68PS6T5CA,B000Y7Y6IQ,3.0
A6VPK7X53QNAQ,B000Y7Y6IQ,3.0
A1GNYV0RA0EQSS,B000Y7Y6IQ,4.0
A3KZCNV1N8R9GC,B000Y7Y6IQ,3.0
A680RUE1FDO8B,B000Y7Y6IQ,4.0
ATMQEI1LKR6VB,B0012KZKZC,5.0
A23ZNGL704AW7O,B0012KZKZC,5.0
AMUP8DYE7EAN2,B0013A5GGE,3.0
A11KZ906QD08C5,B0013A5GGE,4.0
A3V6Z4RCDGRC44,B0013A5GGE,5.0
A3QJU4FEN8PQSZ,B0013OAHTG,3.0
AMUP8DYE7EAN2,B0013OAHTG,4.0
A6VPK7X53QNAQ,B0013OAHTG,2.0
A1QTHVA826XEOS,B0013OAHTG,5.0
A2AC6GQ24S45GA,B0013OAHTG,5.0
ASJZT7DM51QEM,B0013OAHTG,3.0
A17BUUBOU0598B,B0013OAHTG,5.0
A1T9MILRRZ00F8,B0013OAHTG,4.0
A1ROUMJOGO4QMB,B0013O54P8,1.0
A2UOHALGF2X77Q,B0013O54P8,3.0
A3NOBH42C7UI5M,B0013O54P8,1.0
A2XRMQA6PJ5ZJ8,B0013O54P8,2.0
A1VLVWTLV3LVHR,B0014KJ6EQ,5.0
A2UWPPU5GZLMQZ,B0014X2UAK,4.0
A2UWPPU5GZLMQZ,B0014X5XEK,4.0
A2XHOLOLKGV1FE,B0014X5XEK,5.0
A225G2TFM76GYX,B0014X5XEK,4.0
A2UOHALGF2X77Q,B0016P9KWC,2.0
ACQYIC13JXAOI,B0017I8NQM,5.0
A1GNYV0RA0EQSS,B0017I8NQM,5.0
A3Q1J68QY1MZQ9,B0017I8NQM,4.0
A16RI68PS6T5CA,B0017KEA6W,3.0
A1ZCSSCAGBCD49,B0017KEA6W,3.0
A1OZA52DFY3SHD,B0017KEA6W,3.0
A2AC6GQ24S45GA,B0017KEA6W,4.0
A2SH6A32BE6NEV,B0017KEA6W,5.0
AHQRU3MRORIWQ,B0017KEA6W,3.0
A22I55P15NSAOX,B0017KEA6W,3.0
A2V0I904FH7ABY,B0017KEA6W,3.0
AIJQU979J6UFY,B0017KEA6W,4.0
A2AC6GQ24S45GA,B0017W8BQU,4.0
ATJE929ETFFNH,B0017W8BQU,4.0
A680RUE1FDO8B,B0017W8BQU,3.0
A2JMJVNTBL7K7E,B0017W8BQU,2.0
A376OJHLE6SU9Q,B0017W8BQU,5.0
AQCJWSMSURQI2,B0017W8BQU,3.0
A3FEGTOLCWXSV4,B0017W8BQU,5.0
A2D1LPEUCTNT8X,B000VLZCEW,3.0
A3LGT6UZL99IW1,B000VLZCEW,1.0
A1JZFGZEZVWQPY,B0000AZJY6,5.0
A1QNYLBG73QRNF,B0000AZJY6,5.0
A3D0HMC6RQT0N0,B000W3RSGE,3.0
A2EZTM9WY5B5IL,B000W3RSGE,5.0
A22I55P15NSAOX,B000W3RSGE,4.0
A6VPK7X53QNAQ,B000WEJYM4,3.0
ARXU3FESTWMJJ,B000WEJYM4,4.0
A11KZ906QD08C5,B000WMUHEU,2.0
A2PK64OVZA1U8Z,B000WMUHEU,5.0
A2EZTM9WY5B5IL,B000WMUHEU,5.0
A2VAD79S4A06DD,B000WR2F2M,4.0
A105S56ODHGJEK,B000WR2F2M,3.0
AS6SH2JM2YY3H,B000WR2F2M,5.0
A27H0T39U3FZB5,B000WR2F2M,3.0
A1143YEAZYMYHJ,B000WR2F2M,4.0
A1ZCSSCAGBCD49,B000WR2F2M,2.0
A1C0SOX7DPXY65,B000WR2F2M,2.0
A1GWG5CWLKJ7ET,B000WR2F2M,3.0
A225G2TFM76GYX,B000X86ZAS,4.0
A105S56ODHGJEK,B000X86ZAS,5.0
A1JZFGZEZVWQPY,B000X86ZAS,3.0
A1JUBRIZMO0RJV,B000X86ZAS,4.0
ABNMD6670TV53,B000X86ZAS,4.0
A2HXE29CU1I24Y,B000X86ZAS,4.0
A3A15L96IYUO6V,B000X86ZAS,3.0
A3CKI6VEH0HBMJ,B000X86ZAS,4.0
A3RGHO0Q938FRS,B000XHE0Q0,5.0
A3KZCNV1N8R9GC,B000XHE0Q0,4.0
A21S26XYPGXJZX,B000XHE0Q0,4.0
A1O229NVVDJUX2,B000XHE0Q0,4.0
A38NELQT98S4H8,B000XHE0Q0,4.0
A26DQMYF5E0GL6,B000XHE0Q0,4.0
A1LH6RF4UN9VI6,B000XHE0Q0,3.0
A1GQRGB8FGSLIZ,B000XHE0Q0,3.0
A3Q1J68QY1MZQ9,B000XHE0Q0,4.0
A21KNRUAA5RK5E,B000XHE0Q0,2.0
A1GWG5CWLKJ7ET,B000XHE0Q0,4.0
A1F1A0QQP2XVH5,B000XHE0Q0,3.0
A16RI68PS6T5CA,B000Y7Y6IQ,3.0
A6VPK7X53QNAQ,B000Y7Y6IQ,3.0
A1GNYV0RA0EQSS,B000Y7Y6IQ,4.0
A3KZCNV1N8R9GC,B000Y7Y6IQ,3.0
A680RUE1FDO8B,B000Y7Y6IQ,4.0
ATMQEI1LKR6VB,B0012KZKZC,5.0
A23ZNGL704AW7O,B0012KZKZC,5.0
AMUP8DYE7EAN2,B0013A5GGE,3.0
A11KZ906QD08C5,B0013A5GGE,4.0
A3V6Z4RCDGRC44,B0013A5GGE,5.0
A3QJU4FEN8PQSZ,B0013OAHTG,3.0
AMUP8DYE7EAN2,B0013OAHTG,4.0
A6VPK7X53QNAQ,B0013OAHTG,2.0
A1QTHVA826XEOS,B0013OAHTG,5.0
A2AC6GQ24S45GA,B0013OAHTG,5.0
ASJZT7DM51QEM,B0013OAHTG,3.0
A17BUUBOU0598B,B0013OAHTG,5.0
A1T9MILRRZ00F8,B0013OAHTG,4.0
A1ROUMJOGO4QMB,B0013O54P8,1.0
A2UOHALGF2X77Q,B0013O54P8,3.0
A3NOBH42C7UI5M,B0013O54P8,1.0
A2XRMQA6PJ5ZJ8,B0013O54P8,2.0
A1VLVWTLV3LVHR,B0014KJ6EQ,5.0
A2UWPPU5GZLMQZ,B0014X2UAK,4.0
A2UWPPU5GZLMQZ,B0014X5XEK,4.0
A2XHOLOLKGV1FE,B0014X5XEK,5.0
A225G2TFM76GYX,B0014X5XEK,4.0
A2UOHALGF2X77Q,B0016P9KWC,2.0
ACQYIC13JXAOI,B0017I8NQM,5.0
A1GNYV0RA0EQSS,B0017I8NQM,5.0
A3Q1J68QY1MZQ9,B0017I8NQM,4.0
A16RI68PS6T5CA,B0017KEA6W,3.0
A1ZCSSCAGBCD49,B0017KEA6W,3.0
A1OZA52DFY3SHD,B0017KEA6W,3.0
A2AC6GQ24S45GA,B0017KEA6W,4.0
A2SH6A32BE6NEV,B0017KEA6W,5.0
AHQRU3MRORIWQ,B0017KEA6W,3.0
A22I55P15NSAOX,B0017KEA6W,3.0
A2V0I904FH7ABY,B0017KEA6W,3.0
AIJQU979J6UFY,B0017KEA6W,4.0
