user_id,item_id,score
A3M7BCQKSQAK4L,B009SPL2K0,2.0
A1TR1R2QKWRSRA,B0056CZC2S,4.0
A1ZU55TM45Y2R8,B001AMHWP8,5.0
A1B8EJQU73YGL9,B01617VPUY,5.0
A8WAYVOKYBLO6,B003VNCROU,3.0
A2WCFDOCS73PNB,B003VIVY7G,5.0
A3D5B2CBFNJB0K,B00OW2PHF0,5.0
A680RUE1FDO8B,B0017W8BQU,3.0
A680RUE1FDO8B,B00E5UHRT8,3.0
A30UP2KKD5IQEP,B0078YKR0O,3.0
A2WC9NFLG57W4H,B001CPJHGU,2.0
A376OJHLE6SU9Q,B01537HQE2,5.0
A3EK2KTYHJCPB9,B009ENDZ4C,4.0
A2QI2NTDTMK2FV,B0148BYIPY,4.0
A1GQRGB8FGSLIZ,1413313728,5.0
A225G2TFM76GYX,B0014X5XEK,4.0
A225G2TFM76GYX,B005FIWT6U,5.0
A23E9QQHJLNGUI,B00GOUBT6E,5.0
A23E9QQHJLNGUI,B00OW2PJ5I,5.0
A1143YEAZYMYHJ,B004XO6V1G,5.0
ATMQEI1LKR6VB,B0052VKP0W,4.0
ATMQEI1LKR6VB,B00IP93PV4,4.0
A35HNL2VEDK9Z1,B002DHLUWK,3.0
A379DLIAF0MFM5,0763855553,5.0
A1V3TRGWOMA8LC,B00EOR3IJK,1.0
A2Q2A6JKY95RTP,B00C56PM8M,3.0
A3EZFFPVS34AMO,B009SPL2K0,4.0
A3G7BEJJCPD6DS,B00IP93PV4,2.0
A19HT7YC1UW3D6,B00FFINOWS,5.0
AQCJWSMSURQI2,B00E6ONJJU,4.0
AQCJWSMSURQI2,B010P91MAC,4.0
A105S56ODHGJEK,B00EP7AP7C,4.0
A2IFGGXG3YV3Y6,B00IIL0S8W,5.0
A3U41ZL33SS92P,B00F2BA8U4,2.0
A2503LT8PZIHAD,B00BBJR0SO,5.0
A2YKWYC3WQJX5J,B009348X7Q,3.0
A1X1CEGHTHMBL1,B00F8K9MZQ,5.0
A3CW0ZLUO5X2B1,B009SPL2K0,2.0
A3CW0ZLUO5X2B1,B01AC3ZAHW,4.0
A3RGHO0Q938FRS,B00EOI2SR2,5.0
AGOH8N902URMW,B004DTLWZ6,5.0
A3BVN2QBNPBHCR,B005AAWNBE,5.0
A3BVN2QBNPBHCR,B00HRQB28Y,5.0
A3BVN2QBNPBHCR,B00IIL0S8W,5.0
A23NSKTMSPPBTR,B00E6LJ2SA,4.0
ATJE929ETFFNH,B0017W8BQU,4.0
ATJE929ETFFNH,B003VIVY7G,5.0
A16YMCFWGSFGS9,B01617VQJ4,5.0
A35IX2GE0VC0JP,B0039Y59F0,4.0
A1JUBRIZMO0RJV,B000X86ZAS,4.0
AY6A8KPYCE6B0,B00T0I6J4O,4.0
A6VPK7X53QNAQ,B000WEJYM4,3.0
A6VPK7X53QNAQ,B007UXEF6U,2.0
A6VPK7X53QNAQ,B009YYZJDQ,3.0
A2LW5AL0KQ9P1M,B008U5EL5C,1.0
A2LW5AL0KQ9P1M,B00IP93PV4,3.0
A2W1MMTI4BNJKD,B01AC3ZAHW,4.0
A2R1HUYHXV7H18,B002I7LYBC,5.0
A2R1HUYHXV7H18,B0044DE8KC,5.0
A25WJCAP606YMP,B00EOI2SR2,5.0
ACVDL5QRCOPE1,B003VNCRNQ,5.0
ACVDL5QRCOPE1,B006WVR9GY,5.0
A2UWPPU5GZLMQZ,B00MBYLU34,3.0
A3NHUQ33CFH3VM,B00E6ONJJU,5.0
A28N2AWOVO2PB,B00F2BDP9K,5.0
A2OCDK0BOW6UCY,B00D3CKE2Q,4.0
A2OCDK0BOW6UCY,B00EOR3IJK,3.0
A3F8T3BRXRX5P3,B00EZPXVWU,4.0
A1MRRMHGV3PN5W,B010P91MAC,3.0
A2X3L31KCXBHCL,B0026PEP5S,5.0
A12DQZKRKTNF5E,B00H9A60O4,4.0
A12DQZKRKTNF5E,B01FFVDY9M,5.0
A2AF0NOCM71J0B,B009716H7S,3.0
A2AF0NOCM71J0B,B00OW2PHF0,5.0
A2WB7LZ595CR50,B008H3SW4I,3.0
A2068BC3ZXAVJQ,B00EZPXYP4,5.0
A3VONQL7YW8UPM,B001F5VBRU,5.0
