h,lambda,mae
10,0.001,3.1862598892914007
10,0.01,3.064131945202708
10,0.1,3.0554790128279703
10,1,3.743100906177312
10,10,3.830489513796833
10,100,3.8285752750216657
10,1000,3.8301764448326407
20,0.001,2.689041986798328
20,0.01,2.7075950445528285
20,0.1,2.79057570605017
20,1,3.6271076737830654
20,10,3.8372633081107663
20,100,3.825303856211775
20,1000,3.8180579283651817
40,0.001,2.3527160125562006
40,0.01,2.4657765746798614
40,0.1,2.402137602263547
40,1,3.3145011711042267
40,10,3.822401314791621
40,100,3.8169308882549196
40,1000,3.802743386605015
80,0.001,2.2473017599304916
80,0.01,2.155777662802224
80,0.1,2.1854005429186616
80,1,2.640019011360403
80,10,3.8365572265792336
80,100,3.84544221648992
80,1000,3.8319673923594024
100,0.001,2.1309502079092715
100,0.01,2.189951970930923
100,0.1,2.1170571731758994
100,1,2.5200306034763815
100,10,3.8578178289011036
100,100,3.8139992776575524
100,1000,3.8418553949364167
200,0.001,2.0200718612729096
200,0.01,2.089440635970985
200,0.1,1.9257610133235907
200,1,1.937525773369454
200,10,3.819651815613649
200,100,3.838536112523097
200,1000,3.8479350309042366
300,0.001,1.7191147585891748
300,0.01,1.9208223285319304
300,0.1,1.8897686866923924
300,1,1.6948130472138447
300,10,3.861940280843325
300,100,3.832467970073849
300,1000,3.8918762159932982
400,0.001,1.7207306643050788
400,0.01,1.9557036333054938
400,0.1,1.7350672258116062
400,1,1.5435727162504675
400,10,3.7792465198566703
400,100,3.828710748981732
400,1000,3.853259285018596
500,0.001,1.942014735633902
500,0.01,1.8730842054196242
500,0.1,1.6846637056518496
500,1,1.479480275478867
500,10,3.789216651650289
500,100,3.8469371155996397
500,1000,3.9030095407564525
