user_id,item_id,score
AEFTIUQHSVUFX,0892724323,4.0
A9Q28YTLYREO7,143606466X,5.0
A34PAZQ73SL163,158042127X,5.0
A2Q540NTQ3E7R2,1879866250,5.0
A2XX2A4OJCDNLZ,1881509818,5.0
A3SZBE5F3UQ9EC,2094869245,5.0
A1XV95ID4PBQSH,2094869245,5.0
A3KROYMQ61M7A,6305705135,4.0
AHRQOLXJE4CBV,7245456259,5.0
A27M3YPDI1YU5B,7245456259,5.0
A1CJ6O4N4ZWGGR,7245456313,5.0
A29IE483D5HY5R,7245456313,5.0
A38MDTX0YREOEZ,7245456313,5.0
AHRQOLXJE4CBV,7245456313,4.0
A2FUNN2NPIZXIA,7245456313,4.0
A3MZWM75KSM1P6,7245456313,5.0
A3CO0ZCKSZVLH5,7245456313,5.0
A17Y61VABTP5EV,7245456313,5.0
A3TBMAWIIHKHFN,7245456313,5.0
AHRQOLXJE4CBV,7245456453,3.0
A3VVKC910FN4EK,B0000009XN,5.0
A2582KMXLK2P06,B0000011NF,4.0
A2TVJ0YDW3QO63,B000002IZ4,5.0
AJKWF4W7QD4NS,B000002IZ4,5.0
A1GN8UJIZLCA59,B000002IZ4,5.0
A1P3WH08J6VEXF,B00000DATI,4.0
A26EQ8U96JA92T,B00000IURU,5.0
AGFW667QNHDOY,B00000IURU,5.0
A3VSMUBKY8HYB2,B00000IUX5,5.0
A3JPFWKS83R49V,B00000J6JO,3.0
ACL0T7X1THPAV,B00000J6JO,2.0
ABQWMANK4AR63,B00000J6JO,2.0
A34UVV757IKPVB,B00000J6JO,4.0
A356RFKNIG043B,B00000J6JO,2.0
A250AXLRBVYKB4,B00000J6JO,3.0
A2JP9E1H0SF392,B00000J6JO,5.0
A3QWNQ2WA7QZYJ,B00000K3ZG,1.0
ALDAF4VVLFRHP,B00001QEAF,5.0
A1MJMYLRTZ76ZX,B0000224UE,5.0
A31PDR78F1MNDI,B0000224UE,5.0
A3MNU2K5FSMZO1,B000024E7X,5.0
A2582KMXLK2P06,B000024WD3,4.0
A3ETYC1KEQDELJ,B00002JXE3,5.0
A3L717PTT437BY,B00002N6SB,5.0
AYTGG6XTVUG7G,B00002N6T6,5.0
A2UGXIAGSJHHDB,B00002N9F4,5.0
A27DDHWHE540I5,B00002ND5A,1.0
A3QNQQKJTL76H0,B00002ND6V,5.0
A25KW7SOA78XAQ,B00002STA1,4.0
A2GPQZHM465OUK,B00002X20J,5.0
A2GPQZHM465OUK,B00002X20N,5.0
A22Z554ZQ8NFPC,B00003CYPK,5.0
AU0ZJQWZFKHF4,B00003CYPK,4.0
A18YMFFJW974QS,B00003CYPK,5.0
A2V1J3JT5OOZFO,B00003G1U0,5.0
AIKQB96YODOVC,B00003G4JR,5.0
A2SVNGDZGUWC86,B00004NKIQ,3.0
A1M2T0J45TTE64,B00004S9HI,5.0
A1MR1VMK999I6O,B00004S9I0,5.0
A24FY1EBJ7EWLH,B00004S9I0,5.0
A1M2T0J45TTE64,B00004S9I0,5.0
A1IU7S4HCK1XK0,B00004S9I0,4.0
A1QOIHVQC5XWCJ,B00004SQM9,5.0
A1S7AYLBU6CW5A,B00004SQM9,5.0
A1U5NWJOYH2QQH,B00004SQM9,5.0
AFNG8O2DXRCUV,B00004T1JH,3.0
A2B7BUH8834Y6M,B00004TBL5,5.0
A2PR6NXG0PA3KY,B00004THDC,5.0
A1AKKYXG0Y0ULL,B00004THDC,5.0
A2WXIJTI5PEV9N,B00004TR4Y,4.0
AY12DBB0U420B,B00004TXM7,5.0
AK9BXHEXOOM6Z,B00004TXM7,3.0
A1F7SX3GNVBNE3,B00004TXM7,3.0
A2T049UQONS0OY,B00004U2KJ,3.0
A281NPSIMI1C2R,B00004U8H7,5.0
AGGAQLXPVGM5D,B00004U9J9,5.0
A1F92EK0MUNOVR,B00004U9J9,5.0
A1M2T0J45TTE64,B00004UDW4,5.0
AJTYN2L8T5FER,B00004VX3C,5.0
AGGAQLXPVGM5D,B00004WA4L,5.0
A18BRSDLJQL10D,B00004WA4U,5.0
A1R089P5AS26UE,B00004WA4U,5.0
A118KSWZBF5L4T,B00004WA4U,5.0
A6VXZ1EEPRTLV,B00004WA55,5.0
A2MAVOHJIH8S6E,B00004WFTA,5.0
A21BH5QF60775Z,B00004WFTD,5.0
A1HW9DAJBYXGDV,B00004WFTD,4.0
A1V4VVBQBFXRHC,B00004WFTV,4.0
A1LQC225SE8UNI,B00004WFTV,5.0
A2RP0GY861JBRV,B00004WFTV,5.0
A2D9O4SBCS38LX,B00004WFTV,5.0
A3OP7YR7NG4OH5,B00004WFTV,5.0
A13UDAIB4TYB0C,B00004YNWV,5.0
ARBKYIVNYWK3C,B00004YNWV,5.0
A8KJS2P6E5DCB,B00004YTMV,4.0
A2ERYYDRHH1XW9,B00004YTPE,4.0
A6VXZ1EEPRTLV,B00004YTPE,5.0
A2C1QLRW696S9,B00004YVAE,4.0
A31PDR78F1MNDI,B00004YVAE,5.0
A1HRYC60VTMYC0,B00004YVAJ,5.0
A32T2H8150OJLU,B00004YVAJ,5.0
A3OXHLG6DIBRW8,B00004YVAJ,5.0
A2G4MGVWR20OOI,B00004YVAJ,5.0
A3CJ7MHAS9IMAM,B00004YVAJ,5.0
A30J7WQV0ZNRXG,B00004YVAJ,5.0
A2BYV7S1QP2YIG,B00004YVAJ,5.0
A1A9H230IUTY1F,B00004YVAJ,4.0
A13MM7UES60AAU,B00004YVAJ,5.0
A2I5LVVQ7WXEH6,B00004YVAJ,5.0
A27BS98GRLW0F9,B00004YVAJ,5.0
A2KILNYE6LV4Y2,B00004YVAJ,5.0
A2B7BUH8834Y6M,B00004YVAJ,5.0
A31PDR78F1MNDI,B00004YVAJ,5.0
A3R8PXSFGY9MC2,B00004YVAJ,4.0
A2N8APC0G9M3QM,B00004YVAJ,5.0
A2GFFZOR37D63F,B00004YVAM,2.0
A1M2T0J45TTE64,B00004YVAM,1.0
A3QSZ2SE3HUSXM,B00004YVB0,5.0
AQ55H30MZSV0Q,B00004YVB1,4.0
A3R1GJY2MY8041,B00004YVB4,5.0
A304AY9M0FAI3Y,B00004YVB4,5.0
A31PDR78F1MNDI,B00004YVB4,4.0
A2L3R2YNQ5UL9J,B00004YVBA,5.0
A3GA09FYFKL4EY,B000050AV7,5.0
A3T1LD0C65QCWK,B000050AV7,5.0
AI43VKPN5NF7D,B0000512D3,5.0
A2NFZGHU9QUYN5,B000052YHL,1.0
AV8QCPGZW0SDQ,B0000533G7,1.0
A34HYH25VI5DX3,B0000533G7,5.0
A3QNQQKJTL76H0,B0000533G7,5.0
A204906HLJ443E,B0000533G7,5.0
A30JPZ9TZ7I61U,B0000533G7,5.0
AYKKTHW0ZFD7L,B0000533G7,5.0
A37SFXAWN1CXO0,B0000533G7,4.0
A3NK6P0QFDUZL2,B0000533G7,5.0
A36U96CCCBOEXA,B0000533G7,2.0
A3T1LD0C65QCWK,B0000533G7,5.0
ATNZ6ZION5HI1,B0000533G7,5.0
A1IU7S4HCK1XK0,B0000533G7,5.0
