user_id,item_id,score
A1AF1HMW8FZL0H,B00006IBAC,4.0
A1AF1HMW8FZL0H,B003H3CB4A,1.0
A1AF1HMW8FZL0H,B000ZPKCJ4,2.0
A1AF1HMW8FZL0H,B0083LIV0Y,4.0
A1AF1HMW8FZL0H,B004F9QBEQ,5.0
A1AF1HMW8FZL0H,B000VZEC3A,3.0
AR16G2FPTTWJF,B001NIIDI4,5.0
AR16G2FPTTWJF,B0017TKPV2,2.0
AR16G2FPTTWJF,B009KBLYDM,4.0
AR16G2FPTTWJF,B003YT6RLK,4.0
AR16G2FPTTWJF,B005GQIPKK,4.0
AR16G2FPTTWJF,B000CRFVPU,3.0
AR16G2FPTTWJF,B000EFJAWU,5.0
AR16G2FPTTWJF,B000PKFYII,4.0
A20VVNGWNCXYCQ,B0054R1Y04,5.0
A20VVNGWNCXYCQ,B009R6IES8,5.0
A20VVNGWNCXYCQ,B00DNB4UB8,1.0
A20VVNGWNCXYCQ,B001B08Z6O,5.0
A20VVNGWNCXYCQ,B00007MRS5,5.0
A20VVNGWNCXYCQ,B0009IGAQQ,5.0
A15VFMU0WO8ED2,B004ZKXNBE,5.0
A15VFMU0WO8ED2,B0009JQ2JA,5.0
A15VFMU0WO8ED2,B005QAQFFS,5.0
A15VFMU0WO8ED2,B00019DTRQ,5.0
A15VFMU0WO8ED2,B00007M5KZ,5.0
A1IWR4YH4ZA9BM,B00008XPLZ,5.0
A1IWR4YH4ZA9BM,B000MVV6AA,5.0
A1IWR4YH4ZA9BM,B00BB5DJU6,5.0
A1IWR4YH4ZA9BM,B00006IFAQ,5.0
A1IWR4YH4ZA9BM,B0006HXMCA,5.0
A1IWR4YH4ZA9BM,B007ZLALUG,5.0
A1IWR4YH4ZA9BM,B008EGDW3O,5.0
A1IWR4YH4ZA9BM,B00006IEDY,5.0
A1IWR4YH4ZA9BM,B008QP0P42,5.0
A1IWR4YH4ZA9BM,B0009F3P3U,5.0
AUV3OR951650C,B0039N7ELS,2.0
AUV3OR951650C,B00FTG73SC,5.0
AUV3OR951650C,B00006B7UW,3.0
AUV3OR951650C,B003081QWA,5.0
AUV3OR951650C,B00006B8G0,5.0
AUV3OR951650C,B000GHHQXQ,5.0
AUV3OR951650C,B002R5ARNG,4.0
AUV3OR951650C,B00004Z5QO,5.0
AUV3OR951650C,B00548SAP0,4.0
AUV3OR951650C,B004I2MG1W,5.0
AUV3OR951650C,B002XYO84U,5.0
AUV3OR951650C,B00004Z64U,5.0
AUV3OR951650C,B004O49F7M,5.0
AUV3OR951650C,B00CL55JQM,5.0
AUV3OR951650C,B002ON02CC,5.0
AUV3OR951650C,B002M3XCW6,5.0
AUV3OR951650C,B002VUCCNU,5.0
AUV3OR951650C,B004EWHN0A,4.0
AUV3OR951650C,B000J09CO6,3.0
AUV3OR951650C,B00D7NYF30,5.0
AUV3OR951650C,B0069WD0SM,5.0
AUV3OR951650C,B0006SV7Q2,5.0
AUV3OR951650C,B004VJSG2A,5.0
